Salmon Very Light,255,226,226,3713
Salmon Light,255,201,201,761
Salmon,245,173,173,760
Salmon Medium,241,135,135,3712
Salmon Dark,227,109,109,3328
Salmon Very Dark,191,45,45,347
Peach,254,215,204,353
Coral Light,253,156,151,352
Coral,233,106,103,351
Coral Medium,224,72,72,350
Coral Dark,210,16,53,349
Coral Red Very Dark,187,5,31,817
Melon Light,255,203,213,3708
Melon Medium,255,173,188,3706
Melon Dark,255,121,146,3705
Melon Very Dark,231,73,103,3801
Bright Red,227,29,66,666
Red,199,43,59,321
Red Medium,183,31,51,304
Red Dark,167,19,43,498
Garnet,151,11,35,816
Garnet Medium,135,7,31,815
Garnet Dark,123,0,27,814
Carnation Very Light,255,178,187,894
Carnation Light,252,144,162,893
Carnation Medium,255,121,140,892
Carnation Dark,255,87,115,891
Baby Pink,255,223,217,818
Geranium Pale,253,181,181,957
Geranium,255,145,145,956
Rose Dark,86,74,74,309
Dusty Rose Ult Vy Lt,255,215,215,963
Dusty Rose Med Vy Lt,255,189,189,3716
Dusty Rose Medium,230,138,138,962
Dusty Rose Dark,207,115,115,961
Raspberry Light,234,134,153,3833
Raspberry Medium,219,85,110,3832
Raspberry Dark,179,47,72,3831
Raspberry Very Dark,145,53,70,777
Baby Pink Light,255,238,235,819
Rose Light,251,173,180,3326
Pink Medium,252,176,185,776
Rose Medium,242,118,136,899
Rose,238,84,110,335
Rose Very Dark,179,59,75,326
Dusty Rose Vry Lt,240,206,212,151
Dusty Rose Light,228,166,172,3354
Dusty Rose,232,135,155,3733
Dusty Rose Very Dark,218,103,131,3731
Dusty Rose Ultra Dark,188,67,101,3350
Dusty Rose Ult Vy Dk,171,2,73,150
Mauve Light,251,191,194,3689
Mauve Medium,231,169,172,3688
Mauve,201,107,112,3687
Mauve Dark,171,51,87,3803
Mauve Very Dark,136,21,49,3685
Cranberry Very Light,255,192,205,605
Cranberry Light,255,176,190,604
Cranberry,255,164,190,603
Cranberry Medium,226,72,116,602
Cranberry Dark,209,40,106,601
Cranberry Very Dark,205,47,99,600
Cyclamen Pink Light,255,140,174,3806
Cyclamen Pink,243,71,139,3805
Cyclamen Pink Dark,224,40,118,3804
Plum Ultra Light,244,174,213,3609
Plum Very Light,234,156,196,3608
Plum Light,197,73,137,3607
Plum,156,36,98,718
Plum Medium,155,19,89,917
Plum Dark,130,0,67,915
Shell Pink Ult Vy Lt,255,223,213,225
Shell Pink Very Light,235,183,175,224
